"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U2","SUPPLY_SOT223","1936mil","7309mil","1936mil","7309mil","2053.126mil","7218.449mil","T","180.00","LD1117xx"
"P1","Header_2X20_pin_2.54","1141.732mil","8706.929mil","1141.732mil","8706.929mil","191.732mil","8756.929mil","B","0.00","Header 20X2"
"J2","FP_DC_TAP_ANYA","-428.126mil","6956.93mil","-328.126mil","7081.93mil","-328.126mil","7081.93mil","B","360.00","2.xmm"
"P2","Euroblock_3.5pitch_9P","-1259.843mil","6856.535mil","-1259.843mil","6856.535mil","-1811.024mil","6856.535mil","B","360.00","IO"
"D1","1206_LED_Reversed","250mil","8451.024mil","250mil","8451.024mil","187.008mil","8451.024mil","B","180.00","LED"
"D2","1206_LED_Reversed","250mil","8057.323mil","250mil","8057.323mil","187.008mil","8057.323mil","B","180.00","LED"
"D3","1206_LED_Reversed","250mil","7663.622mil","250mil","7663.622mil","187.008mil","7663.622mil","B","180.00","LED"
"D4","1206_LED_Reversed","250mil","7269.921mil","250mil","7269.921mil","187.008mil","7269.921mil","B","180.00","LED"
"SW1","flat_smd_button","2263.78mil","7086.614mil","2263.78mil","7086.614mil","2187.008mil","6965.551mil","T","180.00","SW_ tactile"
"C1","FP_0603_CAP_080","807.087mil","8293.543mil","807.087mil","8293.543mil","807.087mil","8258.11mil","T","90.00","100nF"
"C2","FP_0603_CAP_080","1612.205mil","7992.724mil","1612.205mil","7992.724mil","1576.772mil","7992.724mil","T","0.00","10uF"
"C4","FP_0603_CAP_080","2020mil","7121mil","2020mil","7121mil","2055.433mil","7121mil","T","180.00","1uF"
"C5","FP_0603_CAP_080","1988.189mil","7565.197mil","1988.189mil","7565.197mil","2023.622mil","7565.197mil","T","180.00","1uF"
"C3","FP_0603_CAP_080","1572.205mil","8204.724mil","1572.205mil","8204.724mil","1572.205mil","8169.291mil","T","90.00","100nF"
"C7","FP_0603_CAP_080","1220mil","7441.102mil","1220mil","7441.102mil","1184.567mil","7441.102mil","T","360.00","100nF"
"C8","FP_0603_CAP_080","760mil","7341.102mil","760mil","7341.102mil","795.433mil","7341.102mil","T","180.00","100nF"
"C10","FP_0603_CAP_080","760mil","7251.102mil","760mil","7251.102mil","724.567mil","7251.102mil","T","360.00","100nF"
"J1","HDR1X6","-19.685mil","7809.055mil","-19.685mil","7559.055mil","-19.685mil","7559.055mil","T","90.00","PIC_Kit"
"R1","FP_0603_RES","511.811mil","8451.024mil","511.811mil","8451.024mil","476.378mil","8451.024mil","T","0.00","330R"
"R2","FP_0603_RES","511.811mil","8057.323mil","511.811mil","8057.323mil","476.378mil","8057.323mil","T","0.00","330R"
"R3","FP_0603_RES","511.811mil","7663.622mil","511.811mil","7663.622mil","476.378mil","7663.622mil","T","0.00","330R"
"R4","FP_0603_RES","511.811mil","7269.921mil","511.811mil","7269.921mil","476.378mil","7269.921mil","T","0.00","330R"
"R5","FP_0603_RES","964.567mil","8293.543mil","964.567mil","8293.543mil","964.567mil","8258.11mil","T","90.00","10k"
"R6","FP_0603_RES","885.827mil","8293.543mil","885.827mil","8293.543mil","885.827mil","8258.11mil","T","90.00","100R"
"R7","FP_0603_RES","2342.52mil","7368.346mil","2342.52mil","7368.346mil","2342.52mil","7332.913mil","T","90.00","100R"
"R8","FP_0603_RES","2263.78mil","7368.346mil","2263.78mil","7368.346mil","2263.78mil","7332.913mil","T","90.00","10k"
"R14","FP_0603_RES","1220mil","7241.102mil","1220mil","7241.102mil","1184.567mil","7241.102mil","T","0.00","100R"
"R11","FP_0603_RES","1023.622mil","7722.677mil","1023.622mil","7722.677mil","1023.622mil","7758.11mil","T","270.00","10k"
"R12","FP_0603_RES","1712.598mil","7702.992mil","1712.598mil","7702.992mil","1712.598mil","7667.559mil","T","90.00","10k"
"R13","FP_0603_RES","1791.339mil","7702.992mil","1791.339mil","7702.992mil","1791.339mil","7667.559mil","T","90.00","10k"
"R15","FP_0603_RES","1240.158mil","7584.882mil","1240.158mil","7584.882mil","1240.158mil","7549.449mil","T","90.00","10k"
"U3","DIGITAL_SOIC16","990mil","7261.102mil","990mil","7261.102mil","895.512mil","7436.102mil","T","90.00","MAX3232CSE"
"U1","SSOP-28","1259.842mil","8017.953mil","1259.842mil","8017.953mil","1125.984mil","8184.291mil","T","270.00","PIC24FJ64GB002-I/SO"
"C11","FP_0603_CAP_080","760mil","7181.102mil","760mil","7181.102mil","795.433mil","7181.102mil","T","180.00","100nF"
"D5","DIODE_SOT23_serial","885.827mil","7584.882mil","885.827mil","7584.882mil","938.071mil","7547.48mil","T","0.00","BAV99"
"U4","TSOP17xx","-570.866mil","7303.15mil","-570.866mil","7303.15mil","-420.866mil","7303.15mil","B","180.00","TSOP17xx"
"C9","FP_0603_CAP_080","760mil","7411.102mil","760mil","7411.102mil","795.433mil","7411.102mil","T","180.00","100nF"
"R9","FP_0603_RES","1870.079mil","8136.063mil","1870.079mil","8136.063mil","1870.079mil","8171.496mil","T","270.00","100R"
"R10","FP_0603_RES","1791.339mil","8136.063mil","1791.339mil","8136.063mil","1791.339mil","8171.496mil","T","270.00","100R"
"Q1","TR_SOT23","885.827mil","7722.677mil","885.827mil","7722.677mil","938.071mil","7760.079mil","T","0.00","NPN"
"Q2","TR_SOT23","1377.953mil","7584.882mil","1377.953mil","7584.882mil","1325.709mil","7547.48mil","T","180.00","NPN"
"R16","FP_0603_RES","2055mil","8500mil","2055mil","8500mil","2090.433mil","8500mil","T","180.00","10K"

